condition,split
SUMO2+ctrl,train
NOL11+ctrl,train
FEN1+ctrl,train
NUP153+ctrl,train
TOMM40+ctrl,train
EXOC4+ctrl,train
ZNF84+ctrl,train
RPL8+ctrl,train
MLST8+ctrl,train
SMC5+ctrl,train
DPY19L4+ctrl,train
RRM1+ctrl,train
PSMG3+ctrl,train
RAD9A+ctrl,train
TMEM242+ctrl,train
GLRX3+ctrl,train
NOM1+ctrl,train
CCDC174+ctrl,train
TYK2+ctrl,train
ARIH1+ctrl,train
SRSF2+ctrl,train
GOLT1B+ctrl,train
TIPIN+ctrl,train
ADRM1+ctrl,train
RPN2+ctrl,train
SLC2A8+ctrl,train
NCAPG2+ctrl,train
SKA1+ctrl,train
RPL14+ctrl,train
NDUFB10+ctrl,train
MRPL19+ctrl,train
CTNNBL1+ctrl,train
C1D+ctrl,train
HNRNPU+ctrl,train
TMSB10+ctrl,train
PSMD4+ctrl,train
NUF2+ctrl,train
KEAP1+ctrl,train
PSMB1+ctrl,train
XRN1+ctrl,train
EIF2B1+ctrl,train
POGLUT3+ctrl,train
ELOB+ctrl,train
SCAF1+ctrl,train
RPS23+ctrl,train
ZNF574+ctrl,train
TARS+ctrl,train
AASDHPPT+ctrl,train
PPP1R7+ctrl,train
HNRNPK+ctrl,train
PPWD1+ctrl,train
RABGGTB+ctrl,train
NSL1+ctrl,train
DPH2+ctrl,train
CHMP5+ctrl,train
SETD1A+ctrl,train
GPN3+ctrl,train
TXNL4A+ctrl,train
DDX46+ctrl,train
MIS12+ctrl,train
CLSPN+ctrl,train
PPIL4+ctrl,train
ARPC4+ctrl,train
U2AF1+ctrl,train
ENY2+ctrl,train
MBTPS1+ctrl,train
ATP6V0C+ctrl,train
PPP1R12A+ctrl,train
POU3F1+ctrl,train
HDAC7+ctrl,train
SKA3+ctrl,train
TRMT5+ctrl,train
MTBP+ctrl,train
RPL29+ctrl,train
CTPS1+ctrl,train
NUP54+ctrl,train
DDX5+ctrl,train
SRP14+ctrl,train
NMT1+ctrl,train
PSMG2+ctrl,train
LRR1+ctrl,train
XRCC5+ctrl,train
SLC1A5+ctrl,train
DDX51+ctrl,train
DIMT1+ctrl,train
ITGB1BP1+ctrl,train
SF3A2+ctrl,train
PTMA+ctrl,train
RIOK1+ctrl,train
PRPF6+ctrl,train
SF3B3+ctrl,train
EIF3M+ctrl,train
ASCC3+ctrl,train
YEATS4+ctrl,train
HIRA+ctrl,train
ATP5MF+ctrl,train
HAUS6+ctrl,train
SPCS3+ctrl,train
PPP4R2+ctrl,train
DLD+ctrl,train
ILF3+ctrl,train
NOL12+ctrl,train
ETV4+ctrl,train
RRS1+ctrl,train
ISCU+ctrl,train
ATP6V0B+ctrl,train
SPCS2+ctrl,train
SF1+ctrl,train
CHEK1+ctrl,train
POLD1+ctrl,train
ANKLE2+ctrl,train
LSM6+ctrl,train
FOXO1+ctrl,train
RTCB+ctrl,train
POLL+ctrl,train
CLNS1A+ctrl,train
ARCN1+ctrl,train
MED1+ctrl,train
SEC61B+ctrl,train
CDC7+ctrl,train
HIPK1+ctrl,train
CCDC130+ctrl,train
RTTN+ctrl,train
RAC3+ctrl,train
HMGA1+ctrl,train
ATP6V1A+ctrl,train
RCC1+ctrl,train
MCM10+ctrl,train
DMAP1+ctrl,train
TOX4+ctrl,train
ZNHIT1+ctrl,train
MED12+ctrl,train
GRPEL1+ctrl,train
SEC16A+ctrl,train
IPO7+ctrl,train
TRA2B+ctrl,train
GTF2H3+ctrl,train
RELL2+ctrl,train
PSMB3+ctrl,train
RBM48+ctrl,train
RARS2+ctrl,train
MCM6+ctrl,train
HSD17B10+ctrl,train
CCDC6+ctrl,train
EIF3I+ctrl,train
ZC3H3+ctrl,train
NELFE+ctrl,train
COG4+ctrl,train
SON+ctrl,train
GTF3A+ctrl,train
RPS2+ctrl,train
NOL7+ctrl,train
FNTA+ctrl,train
NAA50+ctrl,train
CABIN1+ctrl,train
UBE2I+ctrl,train
DICER1+ctrl,train
BAP1+ctrl,train
COX11+ctrl,train
PSMC4+ctrl,train
KIF18B+ctrl,train
RPS12+ctrl,train
TARDBP+ctrl,train
MRPL35+ctrl,train
ACTR6+ctrl,train
BANP+ctrl,train
DHX8+ctrl,train
RPL5+ctrl,train
SMNDC1+ctrl,train
ALG14+ctrl,train
ORC4+ctrl,train
NUP43+ctrl,train
NHP2+ctrl,train
POLR3D+ctrl,train
GEMIN6+ctrl,train
ERCC2+ctrl,train
EIF3L+ctrl,train
CCT4+ctrl,train
SNRPD3+ctrl,train
PRMT1+ctrl,train
EPRS+ctrl,train
CHMP7+ctrl,train
RPAP1+ctrl,train
PHF12+ctrl,train
PRPF40A+ctrl,train
DDX59+ctrl,train
SRRM2+ctrl,train
DPAGT1+ctrl,train
TAF6L+ctrl,train
RPS20+ctrl,train
MED19+ctrl,train
NUP133+ctrl,train
ELAC2+ctrl,train
VPS41+ctrl,train
MRPL49+ctrl,train
ING3+ctrl,train
DKC1+ctrl,train
RPIA+ctrl,train
THOC7+ctrl,train
SEH1L+ctrl,train
SPEN+ctrl,train
PRORP+ctrl,train
SRBD1+ctrl,train
EEF2+ctrl,train
MRPS14+ctrl,train
DHX30+ctrl,train
DHPS+ctrl,train
LTV1+ctrl,train
RPL7+ctrl,train
CDC6+ctrl,train
DAXX+ctrl,train
PTPN1+ctrl,train
GEMIN5+ctrl,train
TADA3+ctrl,train
GPN2+ctrl,train
DBR1+ctrl,train
EIF2B5+ctrl,train
RBM33+ctrl,train
BOD1L1+ctrl,train
SPC25+ctrl,train
SRRM1+ctrl,train
TAF3+ctrl,train
HMGCS1+ctrl,train
RPL37+ctrl,train
RPS17+ctrl,train
GFER+ctrl,train
YBX3+ctrl,train
POLD3+ctrl,train
ATP6AP1+ctrl,train
RTEL1+ctrl,train
CWC25+ctrl,train
ATR+ctrl,train
SNRPG+ctrl,train
CTU2+ctrl,train
EHMT2+ctrl,train
